# Menlo Systems GmbH ScanControl
# Program Version 1.14.3
# Start: -733.80000000 ps, Average over 3000 waveforms. Timestamp: 2025-11-05T15:49:28
# Window type: Tukey, parameters: alpha = 0.1, thickness 0.5 mm
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
9.77241022	-88.63179843
9.78721690	-94.11818400
9.80202358	-99.63339109
9.81683026	-95.39532959
9.83163694	-96.96555362
9.84644363	-99.56243022
9.86125031	-96.51957242
9.87605699	-97.68719575
9.89086367	-100.44946279
9.90567035	-93.53632525
9.92047704	-96.08083097
9.93528372	-96.52072449
9.95009040	-89.45749971
9.96489708	-90.99714479
9.97970377	-94.99913250
9.99451045	-94.05064484
10.00931713	-93.70357717
10.02412381	-101.23072075
10.03893049	-90.66514467
10.05373718	-89.15568740
10.06854386	-93.01241088
10.08335054	-95.30505921
10.09815722	-92.73514942
10.11296390	-93.85159185
10.12777059	-100.16099673
10.14257727	-95.70691818
10.15738395	-89.95834210
10.17219063	-90.02004070
10.18699732	-96.99887540
10.20180400	-106.48250792
10.21661068	-100.03759502
10.23141736	-103.48857485
10.24622404	-93.92198656
10.26103073	-88.06103816
10.27583741	-89.16457769
10.29064409	-91.27118093
10.30545077	-98.21171434
10.32025745	-93.91726169
10.33506414	-87.17368666
10.34987082	-86.78143360
10.36467750	-89.78346723
10.37948418	-90.23435592
10.39429087	-89.59180508
10.40909755	-96.92647141
10.42390423	-90.40758428
10.43871091	-91.08096386
10.45351759	-98.31975590
10.46832428	-97.51755786
10.48313096	-91.04041050
10.49793764	-88.65013103
10.51274432	-91.84226832
10.52755101	-93.45225971
10.54235769	-84.89683428
10.55716437	-84.70201864
10.57197105	-90.13166544
10.58677773	-98.47932217
10.60158442	-101.99177966
10.61639110	-99.78932304
10.63119778	-91.60470838
10.64600446	-92.40384230
10.66081114	-103.94213540
10.67561783	-94.09739329
10.69042451	-97.90508210
10.70523119	-99.85623610
10.72003787	-92.11716031
10.73484456	-87.57654031
10.74965124	-88.01275958
10.76445792	-96.11730504
10.77926460	-95.42936942
10.79407128	-92.14425803
10.80887797	-95.59716628
10.82368465	-95.55484505
10.83849133	-89.83207881
10.85329801	-91.82332908
10.86810469	-98.32947305
10.88291138	-94.35623865
10.89771806	-97.27002284
10.91252474	-99.08430416
10.92733142	-94.81238676
10.94213811	-91.20075008
10.95694479	-90.15500806
10.97175147	-92.04585103
10.98655815	-99.03832828
11.00136483	-105.00209372
11.01617152	-92.62723574
11.03097820	-86.47602119
11.04578488	-88.17393713
11.06059156	-113.71036688
11.07539824	-88.25258015
11.09020493	-88.04011488
11.10501161	-91.50194755
11.11981829	-89.88592698
11.13462497	-90.71542241
11.14943166	-91.89020443
11.16423834	-92.91546482
11.17904502	-100.13445104
11.19385170	-91.45518822
11.20865838	-86.33519667
11.22346507	-88.03171125
11.23827175	-100.41991444
11.25307843	-93.78005477
11.26788511	-94.47519700
11.28269179	-104.63402341
11.29749848	-98.25742135
11.31230516	-97.33613009
11.32711184	-87.84883411
11.34191852	-85.59008806
11.35672521	-88.98469124
11.37153189	-96.72324513
11.38633857	-97.87558461
11.40114525	-90.40565797
11.41595193	-88.20168919
11.43075862	-94.18237328
11.44556530	-94.81544820
11.46037198	-95.17911771
11.47517866	-100.16184474
11.48998534	-88.03431978
11.50479203	-84.94615039
11.51959871	-88.37047609
11.53440539	-103.52894873
11.54921207	-103.13361214
11.56401876	-96.59393778
11.57882544	-89.65336397
11.59363212	-86.77103777
11.60843880	-90.82293411
11.62324548	-116.79983493
11.63805217	-88.47704022
11.65285885	-86.73079176
11.66766553	-96.95113629
11.68247221	-91.39796042
11.69727889	-92.54958155
11.71208558	-107.66802475
11.72689226	-91.34638791
11.74169894	-92.95028115
11.75650562	-100.84093857
11.77131231	-95.24935112
11.78611899	-93.46643937
11.80092567	-92.85065476
11.81573235	-109.68934898
11.83053903	-98.34492413
11.84534572	-97.46578697
11.86015240	-97.23610635
11.87495908	-92.33920047
11.88976576	-89.00252780
11.90457244	-91.82761363
11.91937913	-94.19807461
11.93418581	-90.83862435
11.94899249	-88.49085259
11.96379917	-98.84651803
11.97860586	-90.54834938
11.99341254	-89.34031672
12.00821922	-91.07991861
12.02302590	-87.09112985
12.03783258	-86.96840085
12.05263927	-90.25226195
12.06744595	-91.24381551
12.08225263	-91.35293203
12.09705931	-98.87893923
12.11186599	-96.85191952
12.12667268	-90.02191655
12.14147936	-92.47249601
12.15628604	-93.83583722
12.17109272	-93.58665818
12.18589941	-106.28024745
12.20070609	-101.06701589
12.21551277	-91.64401527
12.23031945	-89.55982526
12.24512613	-94.89565992
12.25993282	-110.03611757
12.27473950	-95.53394657
