# Menlo Systems GmbH ScanControl
# Program Version 1.14.3
# Start: -733.80000000 ps, Average over 3000 waveforms. Timestamp: 2025-11-05T16:03:36
# Window type: Tukey, parameters: alpha = 0.1, thickness 0.2 mm
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
13.05949365	-94.79155688
13.07430033	-89.63154983
13.08910702	-92.49402931
13.10391370	-111.47009731
13.11872038	-96.48224283
13.13352706	-93.46725296
13.14833374	-87.07579922
13.16314043	-86.97901024
13.17794711	-88.79587902
13.19275379	-87.47074647
13.20756047	-89.94080530
13.22236716	-96.20241262
13.23717384	-85.84331466
13.25198052	-88.72562896
13.26678720	-96.17046902
13.28159388	-89.26590671
13.29640057	-91.54690971
13.31120725	-95.82556816
13.32601393	-85.99021599
13.34082061	-83.42562913
13.35562729	-86.15967879
13.37043398	-91.00283476
13.38524066	-93.79022139
13.40004734	-102.65366116
13.41485402	-91.56784037
13.42966071	-91.84003355
13.44446739	-98.78989656
13.45927407	-111.44182474
13.47408075	-93.72536350
13.48888743	-88.62236395
13.50369412	-96.32981890
13.51850080	-95.69930900
13.53330748	-97.26534031
13.54811416	-98.70488211
13.56292084	-94.56432954
13.57772753	-97.13175139
13.59253421	-87.46367631
13.60734089	-85.19979328
13.62214757	-88.60262064
13.63695426	-89.27165910
13.65176094	-88.43352869
13.66656762	-91.90916045
13.68137430	-97.77079586
13.69618098	-91.37728303
13.71098767	-96.83251422
13.72579435	-91.85084331
13.74060103	-88.34901896
13.75540771	-92.10841376
13.77021439	-92.84949032
13.78502108	-99.24323376
13.79982776	-98.24956478
13.81463444	-111.70759713
13.82944112	-95.42223600
13.84424781	-88.95877405
13.85905449	-87.58609835
13.87386117	-91.06912841
13.88866785	-94.97101311
13.90347453	-97.80192967
13.91828122	-98.25335443
13.93308790	-99.13557847
13.94789458	-101.17009371
13.96270126	-91.23003778
13.97750794	-92.28428567
13.99231463	-109.44384247
14.00712131	-91.56335913
14.02192799	-92.42811943
14.03673467	-99.64527707
14.05154136	-99.10788995
14.06634804	-93.75242947
14.08115472	-97.76170681
14.09596140	-95.74524927
14.11076808	-89.84560017
14.12557477	-86.46209993
14.14038145	-88.69349395
14.15518813	-98.99308628
14.16999481	-93.89735518
14.18480149	-91.67871511
14.19960818	-92.45143212
14.21441486	-92.16904355
14.22922154	-88.20131577
14.24402822	-87.69205624
14.25883491	-93.08460064
14.27364159	-94.51224058
14.28844827	-99.65033108
14.30325495	-89.39338437
14.31806163	-88.14277340
14.33286832	-91.85173305
14.34767500	-98.06890192
14.36248168	-95.95306819
14.37728836	-93.11903056
14.39209504	-91.85396654
14.40690173	-92.88122899
14.42170841	-93.12740964
14.43651509	-91.51308263
14.45132177	-97.02126523
14.46612846	-99.23521563
14.48093514	-95.09655975
14.49574182	-106.47065035
14.51054850	-93.99267338
14.52535518	-102.44842247
14.54016187	-96.58219352
14.55496855	-97.59137623
14.56977523	-108.96718099
14.58458191	-100.87226563
14.59938859	-95.39383519
14.61419528	-93.04447881
14.62900196	-92.15891106
14.64380864	-92.50867905
14.65861532	-98.41183957
14.67342201	-100.15506046
14.68822869	-92.65339573
14.70303537	-91.02635140
14.71784205	-89.73200236
14.73264873	-89.91675350
14.74745542	-92.56982513
14.76226210	-94.40533884
14.77706878	-92.92897099
14.79187546	-98.64076995
14.80668214	-93.05082503
14.82148883	-91.13653381
14.83629551	-97.96246624
14.85110219	-91.37554619
14.86590887	-96.86638294
14.88071556	-88.98235967
14.89552224	-94.52247423
14.91032892	-93.90595253
14.92513560	-93.52554798
14.93994228	-97.92459323
14.95474897	-105.38245327
14.96955565	-94.00825617
14.98436233	-103.19092968
14.99916901	-88.74047244
15.01397569	-85.06579734
