# Menlo Systems GmbH ScanControl
# Program Version 1.14.3
# Start: -733.80000000 ps, Average over 3000 waveforms. Timestamp: 2025-11-05T15:52:25
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
12.18589941	-89.64869135
12.20070609	-91.09179526
12.21551277	-89.13246051
12.23031945	-89.26919114
12.24512613	-93.14163713
12.25993282	-99.96079540
12.27473950	-101.50346456
12.28954618	-100.51067521
12.30435286	-98.24688824
12.31915954	-100.65036691
12.33396623	-91.09988926
12.34877291	-86.72319796
12.36357959	-87.08714278
12.37838627	-94.53221077
12.39319296	-91.14374383
12.40799964	-86.88448435
12.42280632	-87.91354820
12.43761300	-96.55550520
12.45241968	-91.88569151
12.46722637	-87.06660648
12.48203305	-92.57353674
12.49683973	-95.86452629
12.51164641	-92.52412574
12.52645309	-104.03009816
12.54125978	-94.82802464
12.55606646	-94.19950254
12.57087314	-100.08172447
12.58567982	-98.35891405
12.60048651	-92.94262817
12.61529319	-93.09293586
12.63009987	-94.52966729
12.64490655	-92.29075748
12.65971323	-92.17193368
12.67451992	-111.83807505
12.68932660	-92.10185278
12.70413328	-89.14311725
12.71893996	-89.09074169
12.73374664	-90.59154583
12.74855333	-92.36004094
12.76336001	-85.82630866
12.77816669	-84.39150549
12.79297337	-90.59270841
12.80778006	-98.16275839
12.82258674	-96.15078255
12.83739342	-96.58974410
12.85220010	-91.98170189
12.86700678	-90.27438322
12.88181347	-89.55618033
12.89662015	-90.31712518
12.91142683	-92.27336902
12.92623351	-95.91591540
12.94104019	-112.17923196
12.95584688	-96.09995783
12.97065356	-93.98786255
12.98546024	-112.98001576
13.00026692	-92.49133557
13.01507361	-92.27652479
13.02988029	-96.19997010
13.04468697	-96.68376987
13.05949365	-110.67510884
13.07430033	-94.07574656
13.08910702	-90.05311904
13.10391370	-95.52127539
13.11872038	-98.15587920
13.13352706	-88.81708441
13.14833374	-86.30523962
13.16314043	-86.82884361
13.17794711	-92.39587905
13.19275379	-103.83221338
13.20756047	-99.02909368
13.22236716	-107.05369951
13.23717384	-95.79833900
13.25198052	-88.06438981
13.26678720	-89.09663172
13.28159388	-94.35315291
13.29640057	-96.28823133
13.31120725	-91.37233614
13.32601393	-86.49512011
13.34082061	-90.78738230
13.35562729	-86.32650923
13.37043398	-84.41838779
13.38524066	-87.21054491
13.40004734	-92.83368918
13.41485402	-100.04149982
13.42966071	-98.13525382
13.44446739	-96.01054213
13.45927407	-94.47457802
13.47408075	-95.72042164
13.48888743	-101.76619521
13.50369412	-93.38018562
13.51850080	-88.28583761
13.53330748	-88.33314463
13.54811416	-93.81656043
13.56292084	-98.64610562
13.57772753	-89.18040451
13.59253421	-88.01884795
13.60734089	-89.70008039
13.62214757	-88.52775664
13.63695426	-85.07757663
13.65176094	-84.96087170
13.66656762	-89.04299158
13.68137430	-93.21554557
13.69618098	-100.04584450
13.71098767	-100.58453544
13.72579435	-101.89786941
13.74060103	-92.30185332
13.75540771	-95.63783888
13.77021439	-93.89461115
13.78502108	-98.34998839
13.79982776	-93.95306818
13.81463444	-89.97941175
13.82944112	-95.57493359
13.84424781	-105.63037302
13.85905449	-97.29867371
13.87386117	-92.00463823
13.88866785	-93.59496006
13.90347453	-91.06774303
13.91828122	-92.51390568
13.93308790	-97.27868184
13.94789458	-91.17502701
13.96270126	-86.22479852
13.97750794	-84.15480955
13.99231463	-85.25309259
14.00712131	-89.41663028
14.02192799	-98.32067761
14.03673467	-98.42127689
14.05154136	-89.32270901
14.06634804	-87.95713556
14.08115472	-90.16716630
14.09596140	-92.14359288
14.11076808	-94.45043735
14.12557477	-93.87762453
14.14038145	-88.20928521
14.15518813	-88.40252136
14.16999481	-95.31812187
14.18480149	-88.88407488
14.19960818	-89.70097100
14.21441486	-99.61026665
14.22922154	-98.58008918
14.24402822	-96.57446054
14.25883491	-88.68559830
14.27364159	-88.01714315
14.28844827	-87.41555578
14.30325495	-86.75148720
14.31806163	-90.50775817
14.33286832	-102.22219954
14.34767500	-98.94692531
14.36248168	-92.38598765
14.37728836	-90.18018120
