# Frequency(Hz) Real(n) Imag(n)
4.405853982993153076e+11 2.034689089982311572e+00 -5.107161549427179786e-03
4.421645574330046387e+11 2.033355392103148418e+00 -3.798307755732710251e-03
4.437437165666939087e+11 2.032281468517002754e+00 -2.347068142132827540e-03
4.453228757003832397e+11 2.031456034726943916e+00 -7.789781840848200275e-04
4.469020348340725098e+11 2.030872651489808778e+00 8.990700369536563583e-04
4.484811939677618408e+11 2.030537144906050528e+00 2.698487322364472203e-03
4.500603531014511108e+11 2.030477285426249612e+00 4.650896398264514967e-03
4.516395122351404419e+11 2.030760950218227112e+00 6.815036944528849241e-03
4.532186713688297119e+11 2.031541299160873670e+00 9.294774527610384640e-03
4.547978305025190430e+11 2.033208118525248853e+00 1.228383733843373127e-02
4.563769896362083130e+11 2.037255709617847632e+00 1.605566159160349421e-02
4.579561487698976440e+11 2.045931677283140182e+00 1.408307313647721992e-02
4.595353079035869141e+11 2.048365689841852078e+00 8.662838595369646774e-03
4.611144670372762451e+11 2.048674355555192061e+00 4.540553802712835561e-03
4.626936261709655762e+11 2.048065658589450777e+00 1.226044152742610796e-03
4.642727853046548462e+11 2.002573378601036236e+00 4.947028084440181078e-02
4.658519444383441772e+11 1.995859787280040543e+00 5.097187586926234248e-02
4.674311035720334473e+11 1.989252980754989242e+00 5.221607059003089552e-02
4.690102627057227783e+11 1.982709338759840900e+00 5.328256384613973273e-02
4.705894218394120483e+11 1.976210654718236759e+00 5.423416926505959107e-02
4.721685809731013794e+11 1.969757081319278402e+00 5.511918909479508744e-02
4.737477401067906494e+11 2.035033386828396740e+00 -7.100107029420005961e-03
4.753268992404799805e+11 2.033207416993675132e+00 -6.536212082320627323e-03
4.769060583741692505e+11 2.031603514015398737e+00 -5.698794534568147642e-03
4.784852175078585815e+11 2.030237394802592465e+00 -4.652919685341882355e-03
4.800643766415478516e+11 2.029108560260346028e+00 -3.450070765982605429e-03
4.816435357752371826e+11 2.028208661737052054e+00 -2.125202973886388281e-03
4.832226949089264526e+11 2.027529049724277943e+00 -6.965934514926438526e-04
4.848018540426157837e+11 2.027067286985333450e+00 8.333396756249759939e-04
4.863810131763050537e+11 2.026833831102544892e+00 2.477882462024057295e-03
4.879601723099943848e+11 2.026861756818551630e+00 4.268063264957469051e-03
4.895393314436836548e+11 2.027226390117126797e+00 6.259061628569922466e-03
4.911184905773729858e+11 2.028096430667078565e+00 8.545248935833877485e-03
4.926976497110623169e+11 2.029913813528384292e+00 1.128574268005418969e-02
4.942768088447515869e+11 2.034425667200933319e+00 1.435406618162758663e-02
4.958559679784409180e+11 2.041249124008272631e+00 1.137787505249972762e-02
4.974351271121301880e+11 2.043096116458849476e+00 6.831169535067483159e-03
4.990142862458195190e+11 2.043280671651473313e+00 3.246402820926410412e-03
5.005934453795087891e+11 2.042675055200900758e+00 3.292084826321187282e-04
5.021726045131981201e+11 2.000039549561724694e+00 4.607855787621769478e-02
5.037517636468873901e+11 1.993825935471525312e+00 4.741254595477475964e-02
5.053309227805767212e+11 1.987706195107642904e+00 4.852769847086869925e-02
5.069100819142659912e+11 1.981643589031252706e+00 4.949213614986564674e-02
5.084892410479553223e+11 1.975623639491192574e+00 5.035954838746637546e-02
5.100684001816445923e+11 2.032632610238689796e+00 -7.084906852456141456e-03
5.116475593153339233e+11 2.030838941032582667e+00 -6.857474629199366775e-03
